date,temperature_2m_mean,precipitation_sum_mm,day,real_sold_bread,filled_sold_bread
01/01/2021,0.4,0,friday,,320
02/01/2021,0.8,0.2,saturday,581,581
03/01/2021,2.1,0.1,sunday,564,564
04/01/2021,2.2,0.1,monday,315,315
05/01/2021,2.1,0.2,tuesday,309,309
06/01/2021,2.6,0.6,wednesday,,310
07/01/2021,1.7,0.9,thursday,310,310
08/01/2021,0.8,0,friday,316,316
09/01/2021,0.7,0,saturday,394,394
10/01/2021,0,0,sunday,473,473
11/01/2021,2.1,0,monday,291,291
12/01/2021,7.1,8.4,tuesday,258,258
13/01/2021,7.5,1.5,wednesday,,275
14/01/2021,8.8,6.5,thursday,287,287
15/01/2021,1.8,0.1,friday,322,322
16/01/2021,1.1,7.1,saturday,379,379
17/01/2021,4.6,1.4,sunday,507,507
18/01/2021,4.4,0,monday,285,285
19/01/2021,5.9,5.5,tuesday,286,286
20/01/2021,9.7,0.2,wednesday,,276
21/01/2021,9,11.6,thursday,266,266
22/01/2021,5.3,4,friday,326,326
23/01/2021,3,6.2,saturday,363,363
24/01/2021,1.1,3.1,sunday,488,488
25/01/2021,2.3,0.6,monday,307,307
26/01/2021,1.8,1.2,tuesday,305,305
27/01/2021,5.9,4.6,wednesday,,290
28/01/2021,11.6,9.2,thursday,273,273
29/01/2021,10.2,3.5,friday,311,311
30/01/2021,9.7,13.2,saturday,411,411
31/01/2021,8.6,11.9,sunday,549,549
01/02/2021,8.6,1.7,monday,239,239
02/02/2021,11.3,3,tuesday,268,268
03/02/2021,10.8,4.8,wednesday,,290
04/02/2021,8.2,2.2,thursday,318,318
05/02/2021,8.1,0.4,friday,371,371
06/02/2021,7.5,14.2,saturday,425,425
07/02/2021,3.4,3.4,sunday,556,556
08/02/2021,-0.3,0.1,monday,310,310
09/02/2021,-1.8,0.1,tuesday,340,340
10/02/2021,-3.2,1.9,wednesday,,300
11/02/2021,-2.8,0,thursday,262,262
12/02/2021,-2,0,friday,292,292
13/02/2021,-3.1,0,saturday,419,419
14/02/2021,-1.1,0,sunday,709,709
15/02/2021,4.5,3.4,monday,329,329
16/02/2021,8,1.2,tuesday,322,322
17/02/2021,9.3,0.2,wednesday,,305
18/02/2021,8.7,6.9,thursday,291,291
19/02/2021,8.6,0,friday,423,423
20/02/2021,12.4,0,saturday,487,487
21/02/2021,11.5,0,sunday,852,852
22/02/2021,11.8,0.3,monday,552,552
23/02/2021,13.1,0,tuesday,588,588
24/02/2021,12.9,0,wednesday,,586
25/02/2021,12.1,0.2,thursday,585,585
26/02/2021,8.9,1.6,friday,710,710
27/02/2021,5.4,0,saturday,903,903
28/02/2021,5.8,0,sunday,1283,1283
01/03/2021,6,0,monday,538,538
02/03/2021,7.7,0,tuesday,582,582
03/03/2021,10.7,1,wednesday,,582
04/03/2021,8.9,0.8,thursday,582,582
05/03/2021,4.8,0,friday,612,612
06/03/2021,3.6,0,saturday,724,724
07/03/2021,2.5,0,sunday,872,872
08/03/2021,2.6,0,monday,391,391
09/03/2021,5,0,tuesday,435,435
10/03/2021,5.8,1.4,wednesday,,433
11/03/2021,10.5,3.4,thursday,432,432
12/03/2021,7.8,4.6,friday,493,493
13/03/2021,8.1,6.6,saturday,638,638
14/03/2021,6.9,2.6,sunday,864,864
15/03/2021,8.6,3.8,monday,410,410
16/03/2021,7.2,2.7,tuesday,473,473
17/03/2021,7.3,2.1,wednesday,,400
18/03/2021,5.7,2.1,thursday,313,313
19/03/2021,5.5,1.6,friday,393,393
20/03/2021,4,0,saturday,624,624
21/03/2021,6.5,0.2,sunday,759,759
22/03/2021,5.6,0,monday,397,397
23/03/2021,6.9,0,tuesday,346,346
24/03/2021,8.3,0,wednesday,,380
25/03/2021,8.7,0.8,thursday,404,404
26/03/2021,9.1,3.3,friday,461,461
27/03/2021,7.8,0.1,saturday,468,468
28/03/2021,9.8,0,sunday,727,727
29/03/2021,11.8,0,monday,390,390
30/03/2021,13.4,0,tuesday,466,466
31/03/2021,15.3,0,wednesday,,416
01/04/2021,15.9,0,thursday,366,366
02/04/2021,9.2,0,friday,519,519
03/04/2021,7.3,0,saturday,747,747
04/04/2021,6.7,0,sunday,1303,1303
05/04/2021,4.9,0.7,monday,706,706
06/04/2021,2.5,1.3,tuesday,489,489
07/04/2021,3.8,0,wednesday,,470
08/04/2021,6.6,0.1,thursday,446,446
09/04/2021,9.3,5.5,friday,404,404
10/04/2021,10.2,16.3,saturday,574,574
11/04/2021,6.2,1.5,sunday,739,739
12/04/2021,5.1,0.3,monday,486,486
13/04/2021,5.5,0,tuesday,505,505
14/04/2021,5.8,0,wednesday,369,369
15/04/2021,5.9,0.3,thursday,430,430
16/04/2021,6.2,0,friday,542,542
17/04/2021,8.9,0,saturday,641,641
18/04/2021,7.9,0,sunday,998,998
19/04/2021,9.7,0,monday,429,429
20/04/2021,11.5,0.2,tuesday,572,572
21/04/2021,11.6,0.3,wednesday,420,420
22/04/2021,10.9,0,thursday,600,600
23/04/2021,11.6,0,friday,510,510
24/04/2021,12.5,0,saturday,709,709
25/04/2021,11.4,0,sunday,964,964
26/04/2021,11.7,0,monday,430,430
27/04/2021,11.8,0,tuesday,381,381
28/04/2021,12,1.3,wednesday,399,399
29/04/2021,10,0.5,thursday,430,430
30/04/2021,9.5,0.1,friday,446,446
01/05/2021,8.8,2.7,saturday,671,671
02/05/2021,8.7,1.9,sunday,868,868
03/05/2021,10.8,0.2,monday,489,489
04/05/2021,11.4,3.4,tuesday,433,433
05/05/2021,9.2,1.4,wednesday,503,503
06/05/2021,8.6,6.6,thursday,428,428
07/05/2021,10.1,0,friday,520,520
08/05/2021,14.4,0.6,saturday,806,806
09/05/2021,19.2,0.4,sunday,1005,1005
