date,temperature_2m_mean,precipitation_sum_mm,day,real_sold_bread,filled_sold_bread,event_description,event_score
01/01/2021,0.4,0.0,friday,,320.0,New Year's Day,9
02/01/2021,0.8,0.2,saturday,581.0,581.0,No significant events,4
03/01/2021,2.1,0.1,sunday,564.0,564.0,No significant events,4
04/01/2021,2.2,0.1,monday,315.0,315.0,No significant events,4
05/01/2021,2.1,0.2,tuesday,309.0,309.0,No significant events,4
06/01/2021,2.6,0.6,wednesday,,310.0,No significant events,4
07/01/2021,1.7,0.9,thursday,310.0,310.0,No significant events,4
08/01/2021,0.8,0.0,friday,316.0,316.0,No significant events,4
09/01/2021,0.7,0.0,saturday,394.0,394.0,No significant events,4
10/01/2021,0.0,0.0,sunday,473.0,473.0,No significant events,4
11/01/2021,2.1,0.0,monday,291.0,291.0,No significant events,4
12/01/2021,7.1,8.4,tuesday,258.0,258.0,No significant events,4
13/01/2021,7.5,1.5,wednesday,,275.0,No significant events,4
14/01/2021,8.8,6.5,thursday,287.0,287.0,No significant events,4
15/01/2021,1.8,0.1,friday,322.0,322.0,No significant events,4
16/01/2021,1.1,7.1,saturday,379.0,379.0,No significant events,4
17/01/2021,4.6,1.4,sunday,507.0,507.0,No significant events,4
18/01/2021,4.4,0.0,monday,285.0,285.0,No significant events,4
19/01/2021,5.9,5.5,tuesday,286.0,286.0,No significant events,4
20/01/2021,9.7,0.2,wednesday,,276.0,No significant events,4
21/01/2021,9.0,11.6,thursday,266.0,266.0,No significant events,4
22/01/2021,5.3,4.0,friday,326.0,326.0,No significant events,4
23/01/2021,3.0,6.2,saturday,363.0,363.0,No significant events,4
24/01/2021,1.1,3.1,sunday,488.0,488.0,No significant events,4
25/01/2021,2.3,0.6,monday,307.0,307.0,No significant events,4
26/01/2021,1.8,1.2,tuesday,305.0,305.0,No significant events,4
27/01/2021,5.9,4.6,wednesday,,290.0,No significant events,4
28/01/2021,11.6,9.2,thursday,273.0,273.0,No significant events,4
29/01/2021,10.2,3.5,friday,311.0,311.0,No significant events,4
30/01/2021,9.7,13.2,saturday,411.0,411.0,No significant events,4
31/01/2021,8.6,11.9,sunday,549.0,549.0,No significant events,4
01/02/2021,8.6,1.7,monday,239.0,239.0,Eve of Chandeleur (Candlemas),5
02/02/2021,11.3,3.0,tuesday,268.0,268.0,Chandeleur (Candlemas),5
03/02/2021,10.8,4.8,wednesday,,290.0,No significant events,4
04/02/2021,8.2,2.2,thursday,318.0,318.0,No significant events,4
05/02/2021,8.1,0.4,friday,371.0,371.0,No significant events,4
06/02/2021,7.5,14.2,saturday,425.0,425.0,No significant events,4
07/02/2021,3.4,3.4,sunday,556.0,556.0,No significant events,4
08/02/2021,-0.3,0.1,monday,310.0,310.0,No significant events,4
09/02/2021,-1.8,0.1,tuesday,340.0,340.0,No significant events,4
10/02/2021,-3.2,1.9,wednesday,,300.0,No significant events,4
11/02/2021,-2.8,0.0,thursday,262.0,262.0,No significant events,4
12/02/2021,-2.0,0.0,friday,292.0,292.0,No significant events,4
