ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,day_friday,day_friday_lower,day_friday_upper,day_monday,day_monday_lower,day_monday_upper,day_saturday,day_saturday_lower,day_saturday_upper,day_sunday,day_sunday_lower,day_sunday_upper,day_thursday,day_thursday_lower,day_thursday_upper,day_tuesday,day_tuesday_lower,day_tuesday_upper,day_wednesday,day_wednesday_lower,day_wednesday_upper,event_score,event_score_lower,event_score_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,precipitation_sum_mm,precipitation_sum_mm_lower,precipitation_sum_mm_upper,temperature_2m_mean,temperature_2m_mean_lower,temperature_2m_mean_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-01,555.31345,569.1763660513391,886.243884246915,555.31345,555.31345,164.9580462647813,164.9580462647813,164.9580462647813,25.751249,25.751249,25.751249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0089098539063,385.0089098539063,385.0089098539063,374.93212716232057,374.93212716232057,374.93212716232057,2.9681096505961495,2.9681096505961495,2.9681096505961495,-38.79614134218185,-38.79614134218185,-38.79614134218185,-55.209758847401915,-55.209758847401915,-55.209758847401915,-154.76432205013737,-154.76432205013737,-154.76432205013737,0.0,0.0,0.0,720.2714962647813
2021-01-02,555.4467676624803,339.04168357859913,649.035582241553,555.4467676624803,555.4467676624803,-69.03436374039184,-69.03436374039184,-69.03436374039184,0.0,0.0,0.0,0.0,0.0,0.0,46.071011,46.071011,46.071011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,2.8051233186372797,2.8051233186372797,2.8051233186372797,2.6547723531558676,2.6547723531558676,2.6547723531558676,-37.534815745580175,-37.534815745580175,-37.534815745580175,87.02938896654575,87.02938896654575,87.02938896654575,-158.86887602557488,-158.86887602557488,-158.86887602557488,0.0,0.0,0.0,486.41240392208846
2021-01-03,555.5800853249608,559.8208242438565,871.3917188121076,555.5800853249608,555.5800853249608,162.42118548017294,162.42118548017294,162.42118548017294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.924025,74.924025,74.924025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,35.91411415631284,35.91411415631284,35.91411415631284,2.8114410018760085,2.8114410018760085,2.8114410018760085,-33.43550755662475,-33.43550755662475,-33.43550755662475,289.00011429202794,289.00011429202794,289.00011429202794,-162.49304296816786,-162.49304296816786,-162.49304296816786,0.0,0.0,0.0,718.0012708051338
2021-01-04,555.7134029874411,177.7230831698595,505.435227178009,555.7134029874411,555.7134029874411,-219.13253181765495,-219.13253181765495,-219.13253181765495,0.0,0.0,0.0,27.586698,27.586698,27.586698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-11.107881444536732,-11.107881444536732,-11.107881444536732,2.8114410018760085,2.8114410018760085,2.8114410018760085,-33.120176157474326,-33.120176157474326,-33.120176157474326,-42.36130620806396,-42.36130620806396,-42.36130620806396,-165.66334416505418,-165.66334416505418,-165.66334416505418,0.0,0.0,0.0,336.5808711697862
2021-01-05,555.8467206499215,115.72096225270441,427.6253991601915,555.8467206499215,555.8467206499215,-282.8095985592568,-282.8095985592568,-282.8095985592568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.031354,20.031354,20.031354,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-19.13522549240729,-19.13522549240729,-19.13522549240729,2.6547723531558676,2.6547723531558676,2.6547723531558676,-33.43550755662475,-33.43550755662475,-33.43550755662475,-95.24816108270399,-95.24816108270399,-95.24816108270399,-168.42621198414554,-168.42621198414554,-168.42621198414554,0.0,0.0,0.0,273.0371220906647
2021-01-06,555.9800383124019,85.46746952083733,411.9312834591996,555.9800383124019,555.9800383124019,-301.78684635231184,-301.78684635231184,-301.78684635231184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8428416,17.8428416,17.8428416,-8.38584428893841,-8.38584428893841,-8.38584428893841,-20.373755491535768,-20.373755491535768,-20.373755491535768,2.0280977582753037,2.0280977582753037,2.0280977582753037,-31.85885056087266,-31.85885056087266,-31.85885056087266,-110.56806372261786,-110.56806372261786,-110.56806372261786,-170.84502713815826,-170.84502713815826,-170.84502713815826,0.0,0.0,0.0,254.19319196009008
2021-01-07,556.1133559748822,133.38007487308906,441.4323732142496,556.1133559748822,556.1133559748822,-263.90267155310596,-263.90267155310596,-263.90267155310596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.260775,23.260775,23.260775,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-18.263810630049953,-18.263810630049953,-18.263810630049953,1.558091812114881,1.558091812114881,1.558091812114881,-34.69683315322642,-34.69683315322642,-34.69683315322642,-72.6422133998519,-72.6422133998519,-72.6422133998519,-172.99664752320405,-172.99664752320405,-172.99664752320405,0.0,0.0,0.0,292.21068442177625
2021-01-08,556.2466736373626,157.189302129855,480.0846208684343,556.2466736373626,556.2466736373626,-247.37860867124613,-247.37860867124613,-247.37860867124613,25.751249,25.751249,25.751249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-17.201301383922434,-17.201301383922434,-17.201301383922434,2.9681096505961495,2.9681096505961495,2.9681096505961495,-37.534815745580175,-37.534815745580175,-37.534815745580175,-55.2097588469319,-55.2097588469319,-55.2097588469319,-174.96754844039185,-174.96754844039185,-174.96754844039185,0.0,0.0,0.0,308.8680649661165
2021-01-09,556.379991299843,301.8328600795542,627.3320607739696,556.379991299843,556.379991299843,-87.01718546180284,-87.01718546180284,-87.01718546180284,0.0,0.0,0.0,0.0,0.0,0.0,46.071011,46.071011,46.071011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,2.803129216927142,2.803129216927142,2.803129216927142,2.9681096505961495,2.9681096505961495,2.9681096505961495,-37.8501471447306,-37.8501471447306,-37.8501471447306,87.02938896638344,87.02938896638344,87.02938896638344,-176.8497036451134,-176.8497036451134,-176.8497036451134,0.0,0.0,0.0,469.3628058380402
2021-01-10,556.5133089623233,529.3144896296341,849.2136384272669,556.5133089623233,556.5133089623233,139.71259534791983,139.71259534791983,139.71259534791983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.924025,74.924025,74.924025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,29.44882342287422,29.44882342287422,29.44882342287422,2.9681096505961495,2.9681096505961495,2.9681096505961495,-40.05746693878351,-40.05746693878351,-40.05746693878351,289.00011429191113,289.00011429191113,289.00011429191113,-178.73634236686553,-178.73634236686553,-178.73634236686553,0.0,0.0,0.0,696.2259043102431
