ds,y,day,day_friday,day_monday,day_saturday,day_sunday,day_thursday,day_tuesday,day_wednesday
2021-01-01 00:00:00,,friday,True,False,False,False,False,False,False
2021-01-02 00:00:00,581.0,saturday,False,False,True,False,False,False,False
2021-01-03 00:00:00,564.0,sunday,False,False,False,True,False,False,False
2021-01-04 00:00:00,315.0,monday,False,True,False,False,False,False,False
2021-01-05 00:00:00,309.0,tuesday,False,False,False,False,False,True,False
2021-01-06 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-01-07 00:00:00,310.0,thursday,False,False,False,False,True,False,False
2021-01-08 00:00:00,316.0,friday,True,False,False,False,False,False,False
2021-01-09 00:00:00,394.0,saturday,False,False,True,False,False,False,False
2021-01-10 00:00:00,473.0,sunday,False,False,False,True,False,False,False
2021-01-11 00:00:00,291.0,monday,False,True,False,False,False,False,False
2021-01-12 00:00:00,258.0,tuesday,False,False,False,False,False,True,False
2021-01-13 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-01-14 00:00:00,287.0,thursday,False,False,False,False,True,False,False
2021-01-15 00:00:00,322.0,friday,True,False,False,False,False,False,False
2021-01-16 00:00:00,379.0,saturday,False,False,True,False,False,False,False
2021-01-17 00:00:00,507.0,sunday,False,False,False,True,False,False,False
2021-01-18 00:00:00,285.0,monday,False,True,False,False,False,False,False
2021-01-19 00:00:00,286.0,tuesday,False,False,False,False,False,True,False
2021-01-20 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-01-21 00:00:00,266.0,thursday,False,False,False,False,True,False,False
2021-01-22 00:00:00,326.0,friday,True,False,False,False,False,False,False
2021-01-23 00:00:00,363.0,saturday,False,False,True,False,False,False,False
2021-01-24 00:00:00,488.0,sunday,False,False,False,True,False,False,False
2021-01-25 00:00:00,307.0,monday,False,True,False,False,False,False,False
2021-01-26 00:00:00,305.0,tuesday,False,False,False,False,False,True,False
2021-01-27 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-01-28 00:00:00,273.0,thursday,False,False,False,False,True,False,False
2021-01-29 00:00:00,311.0,friday,True,False,False,False,False,False,False
2021-01-30 00:00:00,411.0,saturday,False,False,True,False,False,False,False
2021-01-31 00:00:00,549.0,sunday,False,False,False,True,False,False,False
2021-02-01 00:00:00,239.0,monday,False,True,False,False,False,False,False
2021-02-02 00:00:00,268.0,tuesday,False,False,False,False,False,True,False
2021-02-03 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-02-04 00:00:00,318.0,thursday,False,False,False,False,True,False,False
2021-02-05 00:00:00,371.0,friday,True,False,False,False,False,False,False
2021-02-06 00:00:00,425.0,saturday,False,False,True,False,False,False,False
2021-02-07 00:00:00,556.0,sunday,False,False,False,True,False,False,False
2021-02-08 00:00:00,310.0,monday,False,True,False,False,False,False,False
2021-02-09 00:00:00,340.0,tuesday,False,False,False,False,False,True,False
2021-02-10 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-02-11 00:00:00,262.0,thursday,False,False,False,False,True,False,False
2021-02-12 00:00:00,292.0,friday,True,False,False,False,False,False,False
2021-02-13 00:00:00,419.0,saturday,False,False,True,False,False,False,False
2021-02-14 00:00:00,709.0,sunday,False,False,False,True,False,False,False
2021-02-15 00:00:00,329.0,monday,False,True,False,False,False,False,False
2021-02-16 00:00:00,322.0,tuesday,False,False,False,False,False,True,False
2021-02-17 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-02-18 00:00:00,291.0,thursday,False,False,False,False,True,False,False
2021-02-19 00:00:00,423.0,friday,True,False,False,False,False,False,False
2021-02-20 00:00:00,487.0,saturday,False,False,True,False,False,False,False
2021-02-21 00:00:00,852.0,sunday,False,False,False,True,False,False,False
2021-02-22 00:00:00,552.0,monday,False,True,False,False,False,False,False
2021-02-23 00:00:00,588.0,tuesday,False,False,False,False,False,True,False
2021-02-24 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-02-25 00:00:00,585.0,thursday,False,False,False,False,True,False,False
2021-02-26 00:00:00,710.0,friday,True,False,False,False,False,False,False
2021-02-27 00:00:00,903.0,saturday,False,False,True,False,False,False,False
2021-02-28 00:00:00,1283.0,sunday,False,False,False,True,False,False,False
2021-03-01 00:00:00,538.0,monday,False,True,False,False,False,False,False
2021-03-02 00:00:00,582.0,tuesday,False,False,False,False,False,True,False
2021-03-03 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-03-04 00:00:00,582.0,thursday,False,False,False,False,True,False,False
2021-03-05 00:00:00,612.0,friday,True,False,False,False,False,False,False
2021-03-06 00:00:00,724.0,saturday,False,False,True,False,False,False,False
2021-03-07 00:00:00,872.0,sunday,False,False,False,True,False,False,False
2021-03-08 00:00:00,391.0,monday,False,True,False,False,False,False,False
2021-03-09 00:00:00,435.0,tuesday,False,False,False,False,False,True,False
2021-03-10 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-03-11 00:00:00,432.0,thursday,False,False,False,False,True,False,False
2021-03-12 00:00:00,493.0,friday,True,False,False,False,False,False,False
2021-03-13 00:00:00,638.0,saturday,False,False,True,False,False,False,False
2021-03-14 00:00:00,864.0,sunday,False,False,False,True,False,False,False
2021-03-15 00:00:00,410.0,monday,False,True,False,False,False,False,False
2021-03-16 00:00:00,473.0,tuesday,False,False,False,False,False,True,False
2021-03-17 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-03-18 00:00:00,313.0,thursday,False,False,False,False,True,False,False
2021-03-19 00:00:00,393.0,friday,True,False,False,False,False,False,False
2021-03-20 00:00:00,624.0,saturday,False,False,True,False,False,False,False
2021-03-21 00:00:00,759.0,sunday,False,False,False,True,False,False,False
2021-03-22 00:00:00,397.0,monday,False,True,False,False,False,False,False
2021-03-23 00:00:00,346.0,tuesday,False,False,False,False,False,True,False
2021-03-24 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-03-25 00:00:00,404.0,thursday,False,False,False,False,True,False,False
2021-03-26 00:00:00,461.0,friday,True,False,False,False,False,False,False
2021-03-27 00:00:00,468.0,saturday,False,False,True,False,False,False,False
2021-03-28 00:00:00,727.0,sunday,False,False,False,True,False,False,False
2021-03-29 00:00:00,390.0,monday,False,True,False,False,False,False,False
2021-03-30 00:00:00,466.0,tuesday,False,False,False,False,False,True,False
2021-03-31 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-04-01 00:00:00,366.0,thursday,False,False,False,False,True,False,False
2021-04-02 00:00:00,519.0,friday,True,False,False,False,False,False,False
